,Date,Average_Iron_Ore_Price,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
792,2008Q3,60.79999999999999,Walliston,400000,4.0,2,6076,Perth
794,2008Q3,60.79999999999999,Menora,875000,4.0,2,6050,Perth
797,2008Q3,60.79999999999999,Hillman,282500,4.0,2,6168,Perth
803,2008Q3,60.79999999999999,Ashfield,438000,4.0,2,6054,Perth
807,2008Q3,60.79999999999999,Mundijong,423000,4.0,2,6123,Perth
810,2008Q3,60.79999999999999,Karawara,920000,4.0,2,6152,Perth
812,2008Q3,60.79999999999999,Karnup,975000,4.0,2,6176,Perth
813,2008Q3,60.79999999999999,Mahogany Creek,515000,4.0,2,6072,Perth
819,2008Q3,60.79999999999999,Samson,497000,4.0,2,6163,Perth
823,2008Q3,60.79999999999999,Kiara,395000,4.0,2,6054,Perth
825,2008Q4,64.43333333333334,Woodbridge,900000,4.0,2,6056,Perth
826,2008Q4,64.43333333333334,Kiara,490000,4.0,2,6054,Perth
827,2008Q4,64.43333333333334,Kiara,420000,4.0,2,6054,Perth
828,2008Q4,64.43333333333334,Hovea,702000,4.0,2,6071,Perth
829,2008Q4,64.43333333333334,Kiara,465000,4.0,2,6054,Perth
831,2008Q4,64.43333333333334,Brigadoon,950000,4.0,2,6069,Perth
836,2008Q4,64.43333333333334,Sawyers Valley,486500,4.0,2,6074,Perth
838,2008Q4,64.43333333333334,Menora,1400000,4.0,2,6050,Perth
842,2008Q4,64.43333333333334,Brigadoon,835000,4.0,2,6069,Perth
844,2008Q4,64.43333333333334,North Lake,610000,4.0,2,6163,Perth
845,2008Q4,64.43333333333334,Mahogany Creek,500000,4.0,2,6072,Perth
846,2008Q4,64.43333333333334,Mahogany Creek,450000,4.0,2,6072,Perth
852,2008Q4,64.43333333333334,Carabooda,980000,4.0,2,6033,Perth
856,2008Q4,64.43333333333334,Martin,400000,4.0,2,6110,Perth
861,2008Q4,64.43333333333334,Sawyers Valley,578000,4.0,2,6074,Perth
863,2008Q4,64.43333333333334,Kiara,410000,4.0,2,6054,Perth
865,2009Q1,68.56666666666668,Hillman,315000,4.0,2,6168,Perth
870,2009Q1,68.56666666666668,Samson,491000,4.0,2,6163,Perth
875,2009Q1,68.56666666666668,Boya,695000,4.0,2,6056,Perth
876,2009Q1,68.56666666666668,Coolbinia,1575000,4.0,2,6050,Perth
882,2009Q1,68.56666666666668,Upper Swan,620000,4.0,2,6069,Perth
885,2009Q1,68.56666666666668,Mahogany Creek,420000,4.0,2,6072,Perth
886,2009Q1,68.56666666666668,Daglish,1025000,4.0,2,6008,Perth
888,2009Q1,68.56666666666668,Herne Hill,865000,4.0,2,6056,Perth
890,2009Q1,68.56666666666668,Karawara,690000,4.0,2,6152,Perth
895,2009Q1,68.56666666666668,Gnangara,1175000,4.0,2,6077,Perth
897,2009Q1,68.56666666666668,Daglish,1100000,4.0,2,6008,Perth
903,2009Q1,68.56666666666668,Ashfield,205000,4.0,2,6054,Perth
904,2009Q1,68.56666666666668,Karnup,1150000,4.0,2,6176,Perth
907,2009Q1,68.56666666666668,Karawara,670000,4.0,2,6152,Perth
910,2009Q1,68.56666666666668,Upper Swan,1450000,4.0,2,6069,Perth
916,2009Q1,68.56666666666668,Woodbridge,590000,4.0,2,6056,Perth
920,2009Q2,67.93333333333334,North Lake,815000,4.0,2,6163,Perth
924,2009Q2,67.93333333333334,Hillman,300000,4.0,2,6168,Perth
926,2009Q2,67.93333333333334,Hillman,293000,4.0,2,6168,Perth
928,2009Q2,67.93333333333334,North Lake,485000,4.0,2,6163,Perth
929,2009Q2,67.93333333333334,Ashfield,515000,4.0,2,6054,Perth
935,2009Q2,67.93333333333334,Boya,385000,4.0,2,6056,Perth
942,2009Q2,67.93333333333334,Mahogany Creek,480000,4.0,2,6072,Perth
944,2009Q2,67.93333333333334,Carabooda,1210000,4.0,2,6033,Perth
950,2009Q2,67.93333333333334,Cardup,535000,4.0,2,6122,Perth
951,2009Q2,67.93333333333334,Mariginiup,890000,4.0,2,6078,Perth
952,2009Q2,67.93333333333334,North Lake,600000,4.0,2,6163,Perth
953,2009Q2,67.93333333333334,Karawara,805000,4.0,2,6152,Perth
955,2009Q2,67.93333333333334,Mardella,520000,4.0,2,6125,Perth
958,2009Q2,67.93333333333334,Cardup,900000,4.0,2,6122,Perth
959,2009Q2,67.93333333333334,Hillman,355000,4.0,2,6168,Perth
962,2009Q2,67.93333333333334,Mariginiup,840000,4.0,2,6078,Perth
964,2009Q2,67.93333333333334,Karawara,712500,4.0,2,6152,Perth
965,2009Q2,67.93333333333334,Hovea,795000,4.0,2,6071,Perth
966,2009Q2,67.93333333333334,Forrestdale,675000,4.0,2,6112,Perth
968,2009Q3,89.0,Kiara,454000,4.0,2,6054,Perth
969,2009Q3,89.0,Kiara,450000,4.0,2,6054,Perth
971,2009Q3,89.0,Daglish,1360000,4.0,2,6008,Perth
973,2009Q3,89.0,Daglish,1080000,4.0,2,6008,Perth
978,2009Q3,89.0,Mardella,590000,4.0,2,6125,Perth
982,2009Q3,89.0,Menora,2100000,4.0,2,6050,Perth
986,2009Q3,89.0,Upper Swan,1175000,4.0,2,6069,Perth
987,2009Q3,89.0,Woodbridge,330000,4.0,2,6056,Perth
990,2009Q3,89.0,Gnangara,975000,4.0,2,6077,Perth
992,2009Q3,89.0,Watermans Bay,340000,4.0,2,6020,Perth
995,2009Q3,89.0,Hillman,329000,4.0,2,6168,Perth
1000,2009Q3,89.0,Samson,490000,4.0,2,6163,Perth
1002,2009Q3,89.0,Woodbridge,775000,4.0,2,6056,Perth
1004,2009Q3,89.0,Menora,2050000,4.0,2,6050,Perth
1011,2009Q3,89.0,West Swan,910000,4.0,2,6055,Perth
1012,2009Q3,89.0,Kiara,485000,4.0,2,6054,Perth
1015,2009Q3,89.0,Mahogany Creek,580000,4.0,2,6072,Perth
